Category: All categories

Week,bitcoin: (Worldwide)
2022-01-02,61
2022-01-09,58
2022-01-16,62
2022-01-23,80
2022-01-30,57
2022-02-06,56
2022-02-13,45
2022-02-20,61
2022-02-27,57
2022-03-06,49
2022-03-13,42
2022-03-20,42
2022-03-27,44
2022-04-03,39
2022-04-10,37
2022-04-17,34
2022-04-24,35
2022-05-01,37
2022-05-08,83
2022-05-15,56
2022-05-22,46
2022-05-29,39
2022-06-05,40
2022-06-12,100
2022-06-19,75
2022-06-26,56
2022-07-03,52
2022-07-10,45
2022-07-17,47
2022-07-24,40
2022-07-31,36
2022-08-07,34
2022-08-14,34
2022-08-21,33
