Category: All categories

Week,bitcoin: (Worldwide)
2019-01-06,35
2019-01-13,30
2019-01-20,27
2019-01-27,27
2019-02-03,30
2019-02-10,28
2019-02-17,32
2019-02-24,28
2019-03-03,28
2019-03-10,25
2019-03-17,25
2019-03-24,26
2019-03-31,46
2019-04-07,39
2019-04-14,33
2019-04-21,35
2019-04-28,32
2019-05-05,45
2019-05-12,72
2019-05-19,53
2019-05-26,55
2019-06-02,45
2019-06-09,44
2019-06-16,62
2019-06-23,100
2019-06-30,65
2019-07-07,61
2019-07-14,66
2019-07-21,50
2019-07-28,47
2019-08-04,57
2019-08-11,51
2019-08-18,45
2019-08-25,42
2019-09-01,41
2019-09-08,37
2019-09-15,36
2019-09-22,47
2019-09-29,38
2019-10-06,38
2019-10-13,33
2019-10-20,41
2019-10-27,40
2019-11-03,34
2019-11-10,32
2019-11-17,37
2019-11-24,39
2019-12-01,33
2019-12-08,31
2019-12-15,35
2019-12-22,31
2019-12-29,33
